device_name,device_type,eq_variant,data_source,loss_type,score_before_eq,score_with_eq,score_delta,preamp_db,num_filters,generator_version,generated_at,source_file,f1_type,f1_fc_hz,f1_gain_db,f1_q,f2_type,f2_fc_hz,f2_gain_db,f2_q,f3_type,f3_fc_hz,f3_gain_db,f3_q,f4_type,f4_fc_hz,f4_gain_db,f4_q,f5_type,f5_fc_hz,f5_gain_db,f5_q,f6_type,f6_fc_hz,f6_gain_db,f6_q,f7_type,f7_fc_hz,f7_gain_db,f7_q,f8_type,f8_fc_hz,f8_gain_db,f8_q,f9_type,f9_fc_hz,f9_gain_db,f9_q,f10_type,f10_fc_hz,f10_gain_db,f10_q,f11_type,f11_fc_hz,f11_gain_db,f11_q,f12_type,f12_fc_hz,f12_gain_db,f12_q,f13_type,f13_fc_hz,f13_gain_db,f13_q,f14_type,f14_fc_hz,f14_gain_db,f14_q,f15_type,f15_fc_hz,f15_gain_db,f15_q,f16_type,f16_fc_hz,f16_gain_db,f16_q,f17_type,f17_fc_hz,f17_gain_db,f17_q,f18_type,f18_fc_hz,f18_gain_db,f18_q,f19_type,f19_fc_hz,f19_gain_db,f19_q,f20_type,f20_fc_hz,f20_gain_db,f20_q,f21_type,f21_fc_hz,f21_gain_db,f21_q,f22_type,f22_fc_hz,f22_gain_db,f22_q,f23_type,f23_fc_hz,f23_gain_db,f23_q,f24_type,f24_fc_hz,f24_gain_db,f24_q,f25_type,f25_fc_hz,f25_gain_db,f25_q,f26_type,f26_fc_hz,f26_gain_db,f26_q,f27_type,f27_fc_hz,f27_gain_db,f27_q,f28_type,f28_fc_hz,f28_gain_db,f28_q,f29_type,f29_fc_hz,f29_gain_db,f29_q,f30_type,f30_fc_hz,f30_gain_db,f30_q,f31_type,f31_fc_hz,f31_gain_db,f31_q
Aalto Speakers Aalto 1 EVO,speaker,autoeq,Vendors-Aalto Speakers,,6.35,6.73,0.3800000000000008,-3.2,7,0.26,2024-12-07-14:44:58,eq/Aalto Speakers Aalto 1 EVO/iir-autoeq.txt,PK,46.0,2.82,2.64,PK,62.0,-3.34,2.84,PK,72.0,2.91,1.32,PK,382.0,0.92,1.82,PK,820.0,1.85,2.91,PK,910.0,-2.01,2.76,PK,5165.0,-1.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalto Speakers Aalto 1 EVO,speaker,autoeq,Vendors-Aalto Speakers,,6.35,6.73,0.3800000000000008,-3.2,7,0.26,2024-12-07-14:44:58,eq/Aalto Speakers Aalto 1 EVO/iir.txt,PK,46.0,2.82,2.64,PK,62.0,-3.34,2.84,PK,72.0,2.91,1.32,PK,382.0,0.92,1.82,PK,820.0,1.85,2.91,PK,910.0,-2.01,2.76,PK,5165.0,-1.17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalto Speakers Aalto 3 Passive,speaker,autoeq,Vendors-Aalto Speakers,,6.83,7.54,0.71,-3.0,7,0.27,2025-07-07-13:47:20,eq/Aalto Speakers Aalto 3 Passive/iir-autoeq.txt,PK,32.0,2.97,0.92,PK,369.0,0.98,2.52,PK,409.0,-1.56,1.81,PK,643.0,-1.22,1.22,PK,1288.0,3.0,0.63,PK,1532.0,-2.97,1.81,PK,4989.0,-1.16,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acoustic Energy AE100 Mk2,speaker,autoeq,ErinsAudioCorner,,4.57,6.42,1.8499999999999996,-3.0,7,0.26,2024-03-19-16:31:20,eq/Acoustic Energy AE100 Mk2/iir-autoeq.txt,PK,44.0,3.0,1.1,PK,643.0,3.0,1.78,PK,849.0,-3.81,2.56,PK,4989.0,-2.31,2.99,PK,7566.0,-2.66,1.66,PK,7834.0,1.91,2.95,PK,12736.0,-3.08,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam A4V,speaker,dbx-1215,ASR,,3.59,4.03,0.4400000000000004,-0.9,15,0.24,2023-08-04-23:32:45,eq/Adam A4V/iir-autoeq-dbx-1215.txt,PK,25.0,0.25,2.14,PK,40.0,0.25,2.14,PK,63.0,0.25,2.14,PK,100.0,0.0,2.14,PK,160.0,0.0,2.14,PK,250.0,0.0,2.14,PK,400.0,0.0,2.14,PK,630.0,-0.25,2.14,PK,1000.0,1.0,2.14,PK,1600.0,-0.25,2.14,PK,2500.0,-0.25,2.14,PK,4000.0,-0.5,2.14,PK,6300.0,-0.5,2.14,PK,10000.0,-0.25,2.14,PK,16000.0,-0.25,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam A4V,speaker,dbx-1231,ASR,,3.59,4.04,0.4500000000000002,-1.2,31,0.24,2023-08-04-23:47:11,eq/Adam A4V/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.25,4.32,PK,31.0,0.25,4.32,PK,40.0,0.25,4.32,PK,50.0,0.25,4.32,PK,63.0,0.25,4.32,PK,80.0,0.0,4.32,PK,100.0,0.0,4.32,PK,125.0,0.0,4.32,PK,160.0,0.0,4.32,PK,200.0,0.0,4.32,PK,250.0,0.0,4.32,PK,315.0,0.0,4.32,PK,400.0,0.0,4.32,PK,500.0,0.0,4.32,PK,630.0,-0.25,4.32,PK,800.0,0.0,4.32,PK,1000.0,1.25,4.32,PK,1250.0,0.0,4.32,PK,1600.0,-0.25,4.32,PK,2000.0,0.0,4.32,PK,2500.0,-0.25,4.32,PK,3150.0,0.0,4.32,PK,4000.0,-0.25,4.32,PK,5000.0,-0.25,4.32,PK,6300.0,-0.25,4.32,PK,8000.0,0.0,4.32,PK,10000.0,0.0,4.32,PK,12000.0,0.0,4.32,PK,16000.0,0.0,4.32,PK,20000.0,0.0,4.32
Adam A4V,speaker,autoeq,ASR,,3.89,5.04,1.15,-4.4,9,0.24,2023-08-26-14:56:54,eq/Adam A4V/iir-autoeq.txt,PK,58.0,0.44,1.21,PK,58.0,2.33,2.61,PK,66.0,-0.93,2.6,PK,245.0,0.78,1.52,PK,844.0,-1.84,2.97,PK,1032.0,2.94,3.0,PK,1032.0,2.93,2.98,PK,1220.0,-1.34,2.82,PK,4966.0,-2.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam A5X,speaker,dbx-1215,ASR,,4.02,4.13,0.11000000000000032,-0.6,15,0.24,2023-08-04-23:29:06,eq/Adam A5X/iir-autoeq-dbx-1215.txt,PK,25.0,0.5,2.14,PK,40.0,0.5,2.14,PK,63.0,0.25,2.14,PK,100.0,-0.5,2.14,PK,160.0,-0.25,2.14,PK,250.0,0.0,2.14,PK,400.0,0.0,2.14,PK,630.0,0.0,2.14,PK,1000.0,0.0,2.14,PK,1600.0,0.0,2.14,PK,2500.0,0.25,2.14,PK,4000.0,-0.25,2.14,PK,6300.0,-0.25,2.14,PK,10000.0,-0.25,2.14,PK,16000.0,0.25,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam A5X,speaker,dbx-1231,ASR,,4.02,4.2,0.1800000000000006,-0.4,31,0.24,2023-08-04-23:41:18,eq/Adam A5X/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.25,4.32,PK,31.0,0.25,4.32,PK,40.0,0.25,4.32,PK,50.0,0.25,4.32,PK,63.0,0.25,4.32,PK,80.0,-0.25,4.32,PK,100.0,-0.25,4.32,PK,125.0,-0.25,4.32,PK,160.0,-0.25,4.32,PK,200.0,0.0,4.32,PK,250.0,0.0,4.32,PK,315.0,0.0,4.32,PK,400.0,0.0,4.32,PK,500.0,0.0,4.32,PK,630.0,-0.25,4.32,PK,800.0,0.0,4.32,PK,1000.0,0.0,4.32,PK,1250.0,-0.25,4.32,PK,1600.0,0.0,4.32,PK,2000.0,0.25,4.32,PK,2500.0,0.0,4.32,PK,3150.0,-0.25,4.32,PK,4000.0,-0.25,4.32,PK,5000.0,-0.25,4.32,PK,6300.0,-0.25,4.32,PK,8000.0,-0.25,4.32,PK,10000.0,-0.25,4.32,PK,12000.0,-0.25,4.32,PK,16000.0,0.0,4.32,PK,20000.0,0.0,4.32
Adam A5X,speaker,autoeq,ASR,,4.18,5.38,1.2000000000000002,-2.4,7,0.26,2024-03-19-16:21:38,eq/Adam A5X/iir-autoeq.txt,PK,54.0,2.9,2.97,PK,102.0,-2.34,1.45,PK,1083.0,3.0,3.0,PK,1288.0,-2.32,2.99,PK,1954.0,2.91,2.66,PK,3650.0,-1.4,0.32,PK,10341.0,-1.47,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
