device_name,device_type,eq_variant,data_source,score_before_eq,score_with_eq,preamp_db,num_filters,filter_index,filter_type,fc_hz,gain_db,q,generator_version,generated_at,source_file
1More P50,headphone,flat,,,,-6.0,7,1,PK,69.0,-1.6,4.43,,,headphone_eq/1More P50/iir-autoeq-flat.txt
1More P50,headphone,flat,,,,-6.0,7,2,PK,71.0,6.0,1.35,,,headphone_eq/1More P50/iir-autoeq-flat.txt
1More P50,headphone,flat,,,,-6.0,7,3,PK,171.0,1.45,3.83,,,headphone_eq/1More P50/iir-autoeq-flat.txt
1More P50,headphone,flat,,,,-6.0,7,4,PK,396.0,3.56,1.33,,,headphone_eq/1More P50/iir-autoeq-flat.txt
1More P50,headphone,flat,,,,-6.0,7,5,PK,657.0,2.64,1.11,,,headphone_eq/1More P50/iir-autoeq-flat.txt
1More P50,headphone,flat,,,,-6.0,7,6,PK,1568.0,-4.49,3.63,,,headphone_eq/1More P50/iir-autoeq-flat.txt
1More P50,headphone,flat,,,,-6.0,7,7,PK,5114.0,6.0,0.5,,,headphone_eq/1More P50/iir-autoeq-flat.txt
1More P50,headphone,score,,,,-6.0,7,1,PK,60.0,3.92,1.75,,,headphone_eq/1More P50/iir-autoeq-score.txt
1More P50,headphone,score,,,,-6.0,7,2,PK,88.0,3.74,3.89,,,headphone_eq/1More P50/iir-autoeq-score.txt
1More P50,headphone,score,,,,-6.0,7,3,PK,165.0,1.74,2.37,,,headphone_eq/1More P50/iir-autoeq-score.txt
1More P50,headphone,score,,,,-6.0,7,4,PK,425.0,3.7,1.1,,,headphone_eq/1More P50/iir-autoeq-score.txt
1More P50,headphone,score,,,,-6.0,7,5,PK,657.0,1.7,1.44,,,headphone_eq/1More P50/iir-autoeq-score.txt
1More P50,headphone,score,,,,-6.0,7,6,PK,1634.0,-3.99,3.95,,,headphone_eq/1More P50/iir-autoeq-score.txt
1More P50,headphone,score,,,,-6.0,7,7,PK,5694.0,6.0,0.5,,,headphone_eq/1More P50/iir-autoeq-score.txt
1More Sonoflow NC,headphone,score,,,,-6.0,7,1,PK,62.0,2.62,3.07,,,headphone_eq/1More Sonoflow NC/iir-autoeq-score.txt
1More Sonoflow NC,headphone,score,,,,-6.0,7,2,PK,64.0,-3.72,3.08,,,headphone_eq/1More Sonoflow NC/iir-autoeq-score.txt
1More Sonoflow NC,headphone,score,,,,-6.0,7,3,PK,295.0,-2.1,0.5,,,headphone_eq/1More Sonoflow NC/iir-autoeq-score.txt
1More Sonoflow NC,headphone,score,,,,-6.0,7,4,PK,429.0,4.24,1.52,,,headphone_eq/1More Sonoflow NC/iir-autoeq-score.txt
1More Sonoflow NC,headphone,score,,,,-6.0,7,5,PK,657.0,3.37,3.14,,,headphone_eq/1More Sonoflow NC/iir-autoeq-score.txt
1More Sonoflow NC,headphone,score,,,,-6.0,7,6,PK,1678.0,-2.53,5.09,,,headphone_eq/1More Sonoflow NC/iir-autoeq-score.txt
1More Sonoflow NC,headphone,score,,,,-6.0,7,7,PK,5916.0,6.0,0.5,,,headphone_eq/1More Sonoflow NC/iir-autoeq-score.txt
64 Audio tia Trió,headphone,flat,,,,-4.4,7,1,PK,118.0,0.95,2.64,,,headphone_eq/64 Audio tia Trió/iir-autoeq-flat.txt
64 Audio tia Trió,headphone,flat,,,,-4.4,7,2,PK,133.0,1.39,2.18,,,headphone_eq/64 Audio tia Trió/iir-autoeq-flat.txt
64 Audio tia Trió,headphone,flat,,,,-4.4,7,3,PK,141.0,-2.98,1.43,,,headphone_eq/64 Audio tia Trió/iir-autoeq-flat.txt
64 Audio tia Trió,headphone,flat,,,,-4.4,7,4,PK,296.0,-0.24,0.78,,,headphone_eq/64 Audio tia Trió/iir-autoeq-flat.txt
64 Audio tia Trió,headphone,flat,,,,-4.4,7,5,PK,1095.0,2.29,2.33,,,headphone_eq/64 Audio tia Trió/iir-autoeq-flat.txt
64 Audio tia Trió,headphone,flat,,,,-4.4,7,6,PK,1943.0,-3.5,1.81,,,headphone_eq/64 Audio tia Trió/iir-autoeq-flat.txt
64 Audio tia Trió,headphone,flat,,,,-4.4,7,7,PK,4406.0,4.63,0.97,,,headphone_eq/64 Audio tia Trió/iir-autoeq-flat.txt
64 Audio tia Trió,headphone,score,,,,-4.8,7,1,PK,60.0,0.15,2.56,,,headphone_eq/64 Audio tia Trió/iir-autoeq-score.txt
64 Audio tia Trió,headphone,score,,,,-4.8,7,2,PK,133.0,2.14,2.79,,,headphone_eq/64 Audio tia Trió/iir-autoeq-score.txt
64 Audio tia Trió,headphone,score,,,,-4.8,7,3,PK,146.0,-2.93,1.51,,,headphone_eq/64 Audio tia Trió/iir-autoeq-score.txt
64 Audio tia Trió,headphone,score,,,,-4.8,7,4,PK,314.0,-0.24,1.29,,,headphone_eq/64 Audio tia Trió/iir-autoeq-score.txt
64 Audio tia Trió,headphone,score,,,,-4.8,7,5,PK,1102.0,2.2,2.06,,,headphone_eq/64 Audio tia Trió/iir-autoeq-score.txt
64 Audio tia Trió,headphone,score,,,,-4.8,7,6,PK,1894.0,-3.73,2.35,,,headphone_eq/64 Audio tia Trió/iir-autoeq-score.txt
64 Audio tia Trió,headphone,score,,,,-4.8,7,7,PK,5239.0,4.92,0.84,,,headphone_eq/64 Audio tia Trió/iir-autoeq-score.txt
7HZ Crinacle Zero_ 2,headphone,flat,,,,-4.8,7,1,PK,84.0,-2.51,3.46,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-flat.txt
7HZ Crinacle Zero_ 2,headphone,flat,,,,-4.8,7,2,PK,90.0,4.12,1.88,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-flat.txt
7HZ Crinacle Zero_ 2,headphone,flat,,,,-4.8,7,3,PK,295.0,-4.06,0.5,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-flat.txt
7HZ Crinacle Zero_ 2,headphone,flat,,,,-4.8,7,4,PK,332.0,3.26,0.87,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-flat.txt
7HZ Crinacle Zero_ 2,headphone,flat,,,,-4.8,7,5,PK,657.0,2.24,1.14,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-flat.txt
7HZ Crinacle Zero_ 2,headphone,flat,,,,-4.8,7,6,PK,1460.0,-0.62,3.0,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-flat.txt
7HZ Crinacle Zero_ 2,headphone,flat,,,,-4.8,7,7,PK,6133.0,4.79,1.01,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-flat.txt
7HZ Crinacle Zero_ 2,headphone,score,,,,-5.5,7,1,PK,73.0,-2.43,2.62,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-score.txt
7HZ Crinacle Zero_ 2,headphone,score,,,,-5.5,7,2,PK,76.0,3.31,2.29,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-score.txt
7HZ Crinacle Zero_ 2,headphone,score,,,,-5.5,7,3,PK,297.0,-3.89,1.45,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-score.txt
7HZ Crinacle Zero_ 2,headphone,score,,,,-5.5,7,4,PK,317.0,3.72,2.4,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-score.txt
7HZ Crinacle Zero_ 2,headphone,score,,,,-5.5,7,5,PK,657.0,1.77,1.84,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-score.txt
7HZ Crinacle Zero_ 2,headphone,score,,,,-5.5,7,6,PK,1520.0,-0.37,1.82,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-score.txt
7HZ Crinacle Zero_ 2,headphone,score,,,,-5.5,7,7,PK,6104.0,5.52,1.31,,,headphone_eq/7HZ Crinacle Zero_ 2/iir-autoeq-score.txt
7HZ Salnotes Zero,headphone,flat,,,,-3.6,7,1,PK,80.0,-3.01,2.93,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-flat.txt
7HZ Salnotes Zero,headphone,flat,,,,-3.6,7,2,PK,81.0,6.0,1.06,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-flat.txt
7HZ Salnotes Zero,headphone,flat,,,,-3.6,7,3,PK,140.0,-1.34,2.39,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-flat.txt
7HZ Salnotes Zero,headphone,flat,,,,-3.6,7,4,PK,450.0,1.48,2.66,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-flat.txt
7HZ Salnotes Zero,headphone,flat,,,,-3.6,7,5,PK,657.0,1.82,2.76,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-flat.txt
7HZ Salnotes Zero,headphone,flat,,,,-3.6,7,6,PK,2556.0,1.27,2.95,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-flat.txt
7HZ Salnotes Zero,headphone,flat,,,,-3.6,7,7,PK,3243.0,0.28,2.3,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-flat.txt
7HZ Salnotes Zero,headphone,score,,,,-4.3,7,1,PK,83.0,3.72,0.64,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-score.txt
7HZ Salnotes Zero,headphone,score,,,,-4.3,7,2,PK,133.0,1.11,1.52,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-score.txt
7HZ Salnotes Zero,headphone,score,,,,-4.3,7,3,PK,144.0,-2.56,1.56,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-score.txt
7HZ Salnotes Zero,headphone,score,,,,-4.3,7,4,PK,459.0,0.96,3.04,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-score.txt
7HZ Salnotes Zero,headphone,score,,,,-4.3,7,5,PK,657.0,1.99,2.11,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-score.txt
7HZ Salnotes Zero,headphone,score,,,,-4.3,7,6,PK,1467.0,-0.38,2.93,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-score.txt
7HZ Salnotes Zero,headphone,score,,,,-4.3,7,7,PK,8596.0,4.26,1.3,,,headphone_eq/7HZ Salnotes Zero/iir-autoeq-score.txt
7HZ Timeless,headphone,flat,,,,-5.3,7,1,PK,72.0,-3.45,3.56,,,headphone_eq/7HZ Timeless/iir-autoeq-flat.txt
